file,pixel_count,minimum,p01,p1,p50,p99,p999,maximum,saturated_fraction,cell_type,color,doe_state,exposure_seconds
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0000_z000.tiff,262144,3061,3503.0,3710.0,5782.0,9079.0,9577.0,10242,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0000_z001.tiff,262144,3226,3526.0,3738.0,5811.0,9307.0,9837.0,10678,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0000_z002.tiff,262144,3181,3526.143,3732.0,5738.0,9424.0,9980.0,10917,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0000_z003.tiff,262144,3155,3513.0,3720.0,5651.0,9616.0,10191.857000000018,11089,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0000_z004.tiff,262144,3135,3510.0,3718.0,5625.0,9872.0,10602.0,12038,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0000_z005.tiff,262144,3179,3512.0,3723.0,5660.0,10417.0,11656.714000000036,13340,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0000_z006.tiff,262144,3239,3513.0,3734.0,5760.0,11094.0,12784.0,14656,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0000_z007.tiff,262144,3244,3521.0,3724.0,5812.0,11575.0,13235.714000000036,15443,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0000_z008.tiff,262144,3254,3526.0,3734.0,5940.0,12008.0,13760.0,16228,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0001_z000.tiff,262144,3427,3859.143,4091.0,8255.0,34733.57000000001,45429.85500000027,51278,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0001_z001.tiff,262144,3516,3860.0,4078.0,8220.0,36575.71000000002,46975.856000000145,50877,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0001_z002.tiff,262144,3415,3821.0,4044.0,8136.0,38078.850000000035,49581.0,52505,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0001_z003.tiff,262144,3560,3828.143,4058.0,8168.0,39534.27000000008,54349.283000000345,64775,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0001_z004.tiff,262144,3564,3805.143,4028.0,8167.0,40150.57000000001,59906.14200000011,65535,0.00029754638671875,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0001_z005.tiff,262144,3352,3782.143,4007.0,8158.0,40096.57000000001,58807.28200000047,65535,0.0001068115234375,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0001_z006.tiff,262144,3411,3755.143,3992.0,8208.0,38390.0,52670.28400000022,57560,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0001_z007.tiff,262144,3478,3754.0,3981.0,8303.5,36876.71000000002,46672.714000000036,50676,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0001_z008.tiff,262144,3433,3756.0,3986.0,8430.0,35555.42000000004,40897.714000000036,44503,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0002_z000.tiff,262144,3856,4371.143,4742.0,18702.0,65535.0,65535.0,65535,0.0867462158203125,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0002_z001.tiff,262144,3942,4324.0,4677.0,17997.0,65535.0,65535.0,65535,0.08871078491210938,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0002_z002.tiff,262144,3776,4308.0,4624.0,17387.0,65535.0,65535.0,65535,0.08781051635742188,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0002_z003.tiff,262144,3880,4252.0,4555.0,16278.0,65535.0,65535.0,65535,0.08440017700195312,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0002_z004.tiff,262144,3715,4145.0,4502.43,15554.0,65535.0,65535.0,65535,0.08144760131835938,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0002_z005.tiff,262144,3773,4143.143,4483.0,15300.0,65535.0,65535.0,65535,0.08324432373046875,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0002_z006.tiff,262144,3725,4178.0,4490.0,15715.0,65535.0,65535.0,65535,0.0797119140625,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0002_z007.tiff,262144,3735,4225.0,4515.0,16062.0,65535.0,65535.0,65535,0.07353591918945312,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0002_z008.tiff,262144,3695,4238.0,4528.0,16254.5,65535.0,65535.0,65535,0.061901092529296875,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0003_z000.tiff,262144,3334,3653.0,3853.0,5920.0,25218.850000000035,34048.85700000002,38314,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0003_z001.tiff,262144,3331,3632.0,3828.0,5774.0,20676.71000000002,30260.856000000145,33701,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0003_z002.tiff,262144,3395,3634.143,3835.0,5710.0,17531.140000000014,31488.857000000018,35533,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0003_z003.tiff,262144,3274,3646.0,3847.0,5645.0,14995.0,33144.571000000054,44531,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0003_z004.tiff,262144,3257,3650.0,3847.0,5621.0,14170.0,38081.856000000145,61420,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0003_z005.tiff,262144,3357,3628.0,3832.0,5583.0,13298.0,38372.85300000053,53659,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0003_z006.tiff,262144,3357,3620.0,3820.0,5582.0,12852.0,30925.284000000218,38123,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0003_z007.tiff,262144,3408,3619.0,3817.0,5596.0,13167.140000000014,25247.714000000036,30967,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0003_z008.tiff,262144,3376,3614.143,3815.0,5623.0,13743.570000000007,21969.284000000218,26171,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0004_z000.tiff,262144,3555,3834.0,4065.0,7582.0,29385.0,33375.42800000007,35534,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0004_z001.tiff,262144,3446,3836.0,4065.0,7523.0,30602.0,34118.99900000013,37380,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0004_z002.tiff,262144,3474,3832.0,4049.0,7400.0,31094.0,35437.71300000016,38955,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0004_z003.tiff,262144,3428,3830.0,4046.0,7288.0,32060.140000000014,37903.714000000036,44478,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0004_z004.tiff,262144,3496,3819.0,4041.0,7322.0,32751.0,40020.28500000009,45995,0.0,cell2,all,noDOE,0.015
C:\Users\ladmin\OneDrive - University of Utah\grad school\research\Super-Res\Data\08_26_26\cell2\all\noDOE\exp_0.015s\custom_p0004_z005.tiff,262144,3517,3835.0,4056.0,7509.0,33978.0,41121.14200000011,51033,0.0,cell2,all,noDOE,0.015
